Date,SM,NO,CL,UB,SB,TP,CD,CN,GC,TY,YM,XB,CT,RX,W ,ST,Z ,AD,C ,VF,LA,SF,LN,IB,KC,XP,DU,CO,US,JA,EC,OE,NG,EO,SI,ES,XM,BO,G ,QS,LX,LP,BP,LH,TU,CC,S ,SE,NV,HO,GX,JY,FV,JB,LC,port_avg
1985-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985-02-28,0.14332367070485882,0.0,-0.16586447098016838,0.0,0.05165647188359607,0.0,0.0,0.0,-0.004220377761258425,-0.10748526036568175,0.0,0.0,0.05827975803201659,0.0,0.03863861846408655,0.0,0.0,0.0,0.07696580878104052,0.0,0.0,0.0,0.0,0.0,-0.13112550005564114,0.0,0.0,0.0,-0.11363187304415326,-0.010844778742011835,0.0,0.0,0.0,0.0,0.013128806939150427,0.0,0.0,0.09475872924890735,-0.02221649769818961,0.0,0.0,0.0,0.0,0.0,0.0,0.10644973895687425,0.03260802093458585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10266095345162025,-0.0007680016027928768
1985-03-29,-0.053564417158864466,0.0,-0.09516669636548826,0.0,0.08382534128593426,0.0,0.0,0.0,-0.25378510633042173,-0.07901301766696375,0.0,0.0,-0.1634991591782784,0.0,-0.11431031661885124,0.0,0.0,0.0,-0.1237376089617255,0.0,0.0,0.0,0.0,0.0,0.02924895542136177,0.0,0.0,0.0,0.09435015339432266,-0.1239945292798498,0.0,0.0,0.0,0.0,-0.16565657859435615,0.0,0.0,0.19982268502548078,-0.0352625958382077,0.0,0.0,0.0,0.0,0.0,0.0,-0.18961201055134852,-0.08300325664418387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08237838845372145,-0.021013391754821115
1985-04-30,0.30935069399723947,0.0,-0.02262085183890556,0.0,0.148047332172553,0.0,0.0,0.0,0.10247680039839505,0.06839466981274574,0.0,0.0,0.0653710721119648,0.0,0.0778392370561396,0.0,0.0,0.0,-0.009113988594200303,0.0,0.0,0.0,0.0,0.0,-0.012734774125173197,0.0,0.0,0.0,0.03360167072434223,0.006191331733357368,0.0,0.0,0.0,0.0,0.11151295074744703,0.0,0.0,0.09002643993435942,0.03319969813646141,0.0,0.0,0.0,0.0,0.0,0.0,0.06695514077629798,0.07347264964268538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24798669188098166,0.02527194117393984
1985-05-31,0.1345509834216743,0.0,-0.09434055147133309,0.0,0.11297071732037332,0.0,0.0,0.0,0.0096290246607516,0.3012886335264697,0.0,0.0,0.11879285403665182,0.0,0.1132735513673792,0.0,0.0,0.0,0.10161985209219943,0.0,0.0,0.0,0.0,0.0,0.04275133245619358,0.0,0.0,0.0,0.3043847538310398,0.14755656453413057,0.0,0.0,0.0,0.0,0.015729555713433884,0.0,0.0,-0.0726595381737402,0.018117617693002252,0.0,0.0,0.0,0.0,0.0,0.0,0.01822923813754258,0.1253599530698137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14480626388215997,0.02803746920177713
1985-06-28,0.003912853512303916,0.0,0.10263454032811911,0.0,0.3033085447926008,0.0,0.0,0.0,0.015396231347898356,-0.03283741390263025,0.0,0.0,0.04478172824272699,0.0,-0.007586160375433016,0.0,0.0,0.0,0.11055426621615115,0.0,0.0,0.0,0.0,0.0,0.03487999442080153,0.0,0.0,0.0,-0.008986481369737809,0.025964496773174306,0.0,0.0,0.0,0.0,0.02131329034867824,0.0,0.0,-0.03156411941173171,0.0212210295160718,0.0,0.0,0.0,0.0,0.0,0.0,0.06603532970552074,0.048058003066830716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23315235044034707,0.01727706333912167
1985-07-31,0.04378858098861522,0.0,-0.10214459227037079,0.0,-0.2604119254875569,0.0,0.0,0.0,-0.04740078753142999,-0.07217720568408229,0.0,0.0,0.07626099258033221,0.0,0.28017094270418696,0.0,0.0,0.0,0.5181257354838802,0.0,0.0,0.0,0.0,0.0,0.21154281894541205,0.0,0.0,0.0,-0.08501463920504197,0.040247835971876346,0.0,0.0,0.0,0.0,-0.023536223015514352,0.0,0.0,-0.19298388460614638,-0.07271093926568847,0.0,0.0,0.0,0.0,0.0,0.0,0.03670194020423905,0.1719728784793574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25352534940049504,0.014108306867137516
1985-08-30,-0.03139157750242639,0.0,0.15757892635418902,0.0,-0.027638024502688943,0.0,0.0,0.0,-0.01809871997973948,0.07295538662764793,0.0,0.0,0.08098782850513196,0.0,0.2372692631889128,0.0,0.0,0.0,0.03156668381833494,0.0,0.0,0.0,0.0,0.0,-0.029953641672860316,0.0,0.0,0.0,0.06367755538704574,-0.28092706860669103,0.0,0.0,0.0,0.0,0.02724816338901599,0.0,0.0,-0.17776485192323396,-0.03801486143065631,0.0,0.0,0.0,0.0,0.0,0.0,0.033297126871438466,0.03814521140764572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002627317379712068,0.00257390395110506
1985-09-30,-0.04244726365813264,0.0,0.21468837648992994,0.0,-0.04047080165492992,0.0,0.0,0.0,0.09309728155064592,-0.014430906996236855,0.0,0.0,-0.07449758424554234,0.0,-0.06464387161052644,0.0,0.0,0.0,-0.07390648932019207,0.0,0.0,0.0,0.0,0.0,0.02075009477331813,0.0,0.0,0.0,-0.030813873697854956,0.3749133771483039,0.0,0.0,0.0,0.0,0.07948900406772513,0.0,0.0,0.08032905644890011,-0.019183229020479736,0.0,0.0,0.0,0.0,0.0,0.0,-0.030523489742730472,0.0047413978518961175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07670252347760845,0.007279791907390643
1985-10-31,-0.1565014097005592,0.0,0.2025918748391676,0.0,-0.04296277246008959,0.0,0.0,0.0,0.006368621114990642,0.07468527151009073,0.0,0.0,-0.11083719272834244,0.0,-0.16907429375315625,0.0,0.0,0.0,-0.09085958345597979,0.0,0.0,0.0,0.0,0.0,-0.3811460804056451,0.0,0.0,0.0,0.10115544490565628,-0.07218726737718467,0.0,0.0,0.0,0.0,0.0005330781577078138,0.0,0.0,0.1325704619626222,0.023404187648870825,0.0,0.0,0.0,0.0,0.0,0.0,-0.13033297980763195,0.009083045815428094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12538949618133322,-0.013252710725734328
1985-11-29,0.01729199227910018,0.0,0.009154970415793698,0.0,0.013798739056846258,0.0,0.0,0.0,0.03043006104058792,0.11413143172623148,0.0,0.0,0.07151662067745929,0.0,-0.04876046770906757,0.0,0.0,0.0,-0.1004414031703686,0.0,0.0,0.0,0.0,0.0,-0.012413559257462735,0.0,0.0,0.0,0.12814435773814717,-0.03169654552450905,0.0,0.0,0.0,0.0,0.01313236799031735,0.0,0.0,0.09028881161966065,0.018262739720791156,0.0,0.0,0.0,0.0,0.0,0.0,-0.016948078557174413,0.15638203053338812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06723443173247952,0.007000720669950208
1985-12-31,-0.03568057140803437,0.0,-0.26799687075889445,0.0,0.0651605076268206,0.0,0.0,0.0,-0.01950973667491024,0.17771274921580976,0.0,0.0,-0.08254338135187014,0.0,-0.04520013775732949,0.0,0.0,0.0,-0.03623814007989236,0.0,0.0,0.0,0.0,0.0,0.6852643754782896,0.0,0.0,0.0,0.1933388227778674,0.05577977941847853,0.0,0.0,0.0,0.0,0.1044720012273138,0.0,0.0,-0.1553094675130233,0.13881675719506587,0.0,0.0,0.0,0.0,0.0,0.0,-0.06014780697617561,-0.1321052369516443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14946492269571657,0.013368701202974323
1986-01-31,0.02894537610460674,0.0,-0.32164755447388127,0.0,-0.046978646427181615,0.0,0.0,0.0,-0.1602993371340007,-0.01070500484964982,0.0,0.0,0.12381834670049541,0.0,0.10710531387187817,0.0,0.0,0.0,0.07335145012881213,0.0,0.0,0.0,0.0,0.0,-0.09754006003883088,0.0,0.0,0.0,-0.008521324800157526,-0.05951778448877972,0.0,0.0,0.0,0.0,-0.041632395092576276,0.0,0.0,0.17391528049662247,0.03782352076808886,0.0,0.0,0.0,0.0,0.0,0.0,-0.10103481502233229,0.084886687519946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17253253590767512,-0.0008272438332593698
1986-02-28,-0.09814415080061686,0.0,0.5713347514757466,0.0,-0.027659993099052777,0.0,0.0,0.0,-0.09962259720720752,0.282057192015313,0.0,0.0,-0.12487952160751761,0.0,-0.05279224918445503,0.0,0.0,0.0,0.22858863921404052,0.0,0.0,0.0,0.0,0.0,0.10624410861317607,0.0,0.0,0.0,0.36624955078305826,0.04545833408074799,0.0,0.0,0.0,0.0,0.15990345806488337,0.0,0.0,0.2911221239044818,-0.24047476942990026,0.0,0.0,0.0,0.0,0.0,0.0,0.16491682138418157,0.03403483535604985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024548480416639706,0.02965245479962852
1986-03-31,0.10494268795525175,0.0,0.2110601047010894,0.0,-0.23930546652285375,0.0,0.0,0.0,-0.07677039159581626,0.17707885119720873,0.0,0.0,-0.0870132853082346,0.0,-0.11448630057233088,0.0,0.0,0.0,-0.09154290790555962,0.0,0.0,0.0,0.0,0.0,-0.004279161354322241,0.0,0.0,0.0,0.2622401877748574,-0.08204109213278965,0.0,0.0,0.0,0.0,0.20385696835459938,0.0,0.0,-0.1826706798841658,0.46701636299136395,0.0,0.0,0.0,0.0,0.0,0.0,0.19749525550023522,-0.04430420988785811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15873116486955566,0.015636510694186007
1986-04-30,-0.03787808611108394,0.0,-0.1425336715794123,0.0,-0.049045339420714096,0.0,0.0,0.0,-0.07555748027248599,-0.03647984156065756,0.0,0.0,-0.03959065843433674,0.0,-0.1355197416438636,0.0,0.0,0.0,-0.03494757831690975,0.0,0.0,0.0,0.0,0.0,-0.057129607922219064,0.0,0.0,0.0,-0.0541028379638933,0.10012688395067555,0.0,0.0,0.0,0.0,0.01765094472262351,0.0,0.0,0.05084293463625119,0.011291884829155071,0.0,0.0,0.0,0.0,0.0,0.0,0.13738935470476288,-0.002430274581170763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04194262611066786,-0.0055630997973202005
1986-05-30,-0.1687852304798469,0.0,-0.048171164279536355,0.0,-0.15170792796794877,0.0,0.0,0.0,0.03725243029501153,-0.18607796719481917,0.0,0.0,-0.033355583302228244,0.0,-0.22934291955678535,0.0,0.0,0.0,-0.04150381923193876,0.0,0.0,0.0,0.0,0.0,-0.17221562507888516,0.0,0.0,0.0,-0.18319404766292316,-0.029165076424968395,0.0,0.0,0.0,0.0,-0.017836250211830978,0.0,0.0,0.1152878155114927,-0.12295873618144881,0.0,0.0,0.0,0.0,0.0,0.0,0.04073788135901737,0.14746677391883362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10060985381765623,-0.01714471986674816
1986-06-30,-0.029395904312009058,0.0,-0.0059359622378412896,0.0,-0.09105075262167983,0.0,0.0,0.0,0.00534988110691425,0.15521908241066817,0.0,0.0,0.020178452994076546,0.0,-0.011187840075511485,0.0,0.0,0.0,0.24698280968921912,0.0,0.0,0.0,0.0,0.0,-0.10588002528882469,0.0,0.0,0.0,0.1534606149681707,0.07244361296377089,0.0,0.0,0.0,0.0,0.05720630996925737,0.0,0.0,0.11778473676477805,-0.062167193313861835,0.0,0.0,0.0,0.0,0.0,0.0,0.021226229075502246,0.09324246793421656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15168105142283897,0.008832644883709212
1986-07-31,0.13876516574151213,0.0,0.08853730870316304,0.0,-0.0320512476452189,0.0,0.0,0.0,-0.10230047763661251,0.006084501755739176,0.0,0.0,-0.016565649710736877,0.0,-0.055381588958531396,0.0,0.0,0.0,0.28404069630164935,0.0,0.0,0.0,0.0,0.0,-0.0021016396072601634,0.0,0.0,0.0,-0.0458041500373624,0.030214630759207998,0.0,0.0,0.0,0.0,0.017056765631571838,0.0,0.0,0.05461664952608333,-0.08002842803932997,0.0,0.0,0.0,0.0,0.0,0.0,-0.10728698395556213,-0.06531748826163541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024617846973938592,0.0015974585016861544
1986-08-29,0.16374824466123053,0.0,-0.16160325418420765,0.0,-0.128396717829714,0.0,0.0,0.0,0.14581725480867114,0.11979314516982066,0.0,0.0,0.12976558988937026,0.0,-0.007463906531702958,0.0,0.0,0.0,0.16697423742579381,0.0,0.0,0.0,0.0,0.0,0.14450085809658417,0.0,0.0,0.0,0.13106403944489745,-0.5432052668215617,0.0,0.0,0.0,0.0,0.005413106052449867,0.0,0.0,0.26265531352348964,0.04626125926504887,0.0,0.0,0.0,0.0,0.0,0.0,-0.07570510969644455,0.0837111033710453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04941436758564397,0.007889373255620486
1986-09-30,-0.022422212855054875,0.0,0.056889939156250804,0.0,0.02893586546496198,0.0,0.0,0.0,0.18323707976745665,-0.10998329950778735,0.0,0.0,0.4511989262505034,0.0,0.018647034739986478,0.0,0.0,0.0,-0.12530071440730595,0.0,0.0,0.0,0.0,0.0,-0.015331274826337176,0.0,0.0,0.0,-0.12944577702966728,-0.12722238880909403,0.0,0.0,0.0,0.0,-0.10986915508165995,0.0,0.0,-0.06577640018165795,-0.34359711315742947,0.0,0.0,0.0,0.0,0.0,0.0,0.09537276149935364,-0.031831850445126104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05818467137361591,-0.0034238892372543835
1986-10-31,-0.000867606277240377,0.0,-0.045329503358487434,0.0,-0.06177595662550754,0.0,0.0,0.0,-0.1132858200187672,0.06041449568117839,0.0,0.0,-0.041469568522614075,0.0,0.09753826894437849,0.0,0.0,0.0,0.029778602758780876,0.0,0.0,0.0,0.0,0.0,-0.16175999226052615,0.0,0.0,0.0,0.03139199812212729,0.07189860914428502,0.0,0.0,0.0,0.0,-0.0017354436043592629,0.0,0.0,-0.03300052132887014,0.004669285451600764,0.0,0.0,0.0,0.0,0.0,0.0,0.11535453574560774,-0.058303005674865675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07479257747424735,-0.0032958945326823025
1986-11-28,-0.047577509518570864,0.0,0.01353153001343451,0.0,-0.0051739752851633495,0.0,0.0,0.0,-0.07578203567687829,0.026355080028986996,0.0,0.0,0.15299487642245815,0.0,0.054949299227403145,0.0,0.0,0.0,0.03375969386695062,0.0,0.0,0.0,0.0,0.0,0.11856955169526173,0.0,0.0,0.0,0.03699737705086586,-0.16100803353388593,0.0,0.0,0.0,0.0,0.08675902119375087,0.0,0.0,-0.024393158597584154,0.09413469796380759,0.0,0.0,0.0,0.0,0.0,0.0,0.05965318330828034,-0.013705752110727306,0.0,0.0,0.0,0.0,0.0,0.0,-0.0746169953460721,-0.07191591649849174,0.0037005624400695642
1986-12-31,-0.1310649382211215,0.0,-0.08082769104183286,0.0,0.05642977538553106,0.0,0.0,0.0,0.0477567224634933,-0.009268408996979338,0.0,0.0,0.12669260481659164,0.0,-0.07472795898396427,0.0,0.0,0.0,0.22079963407505493,0.0,0.0,0.0,0.0,0.0,0.062196449922091834,0.0,0.0,0.0,-0.02399290734661724,-0.03786291617636049,0.0,0.0,0.0,0.0,0.008593662638966056,0.0,0.0,0.051653287071200524,-0.13877177483577421,0.0,0.0,0.0,0.0,0.0,0.0,-0.05933890064336194,0.08807324652293161,0.0,0.0,0.0,0.0,0.0,0.0,-0.00539850816063517,0.1511077474472531,0.004582711380663036
1987-01-30,0.02691830657240939,0.0,-0.04631207485486698,0.0,-0.16876439565137885,0.0,0.0,0.0,-0.040689407124257934,0.017108261985432832,0.0,0.0,-0.12187931800909721,0.0,0.08959645828092559,0.0,0.0,0.0,0.0799350374803037,0.0,0.0,0.0,0.0,0.0,0.1196544449956534,0.0,0.0,0.0,0.023793862775678912,0.08295515795106062,0.0,0.0,0.0,0.0,0.0027698427780087414,0.0,0.0,-0.10201616563679634,-0.06184249166483588,0.0,0.0,0.0,0.0,0.0,0.0,0.17956789386543837,-0.016971149915406752,0.0,0.0,0.0,0.0,0.0,0.0,0.06631516990263617,-0.31513901171972003,-0.003363628690705678
1987-02-27,0.07696610026840867,0.0,-0.044260812163720444,0.0,-0.044557461247225594,0.0,0.0,0.0,-0.012710757534573089,0.008990338343236865,0.0,0.0,0.04934499373064238,0.0,-0.04381263292352784,0.0,0.0,0.0,0.1423175685663172,0.0,0.0,0.0,0.0,0.0,-0.023107205500226095,0.0,0.0,0.0,0.044530886905467755,-0.02360164263639718,0.0,0.0,0.0,0.0,0.038948185649520885,0.0,0.0,0.16251470139267957,0.11094796294404494,0.0,0.0,0.0,0.0,0.0,0.0,-0.031125806802073698,0.14203466038180282,0.0,0.0,0.0,0.0,0.0,0.0,0.1359897213323398,0.06905956972662639,0.013790334007878968
1987-03-31,-0.12962175017621638,0.0,0.17220806061164373,0.0,0.17237079157184132,0.0,0.0,0.0,0.04641363580238792,-0.11861812865259355,0.0,0.0,0.05110161050010539,0.0,0.0239027427401539,0.0,0.0,0.0,-0.0972771712465075,0.0,0.0,0.0,0.0,0.0,0.32364725539240397,0.0,0.0,0.0,-0.07792866062607993,0.02364671858359636,0.0,0.0,0.0,0.0,-0.2115295943342443,0.0,0.0,0.009457513899303306,-0.10028711219050343,0.0,0.0,0.0,0.0,0.0,0.0,-0.04094333770243813,-0.08999118226989042,0.0,0.0,0.0,0.0,0.0,0.0,0.19940264082506726,0.0799417434004309,0.004289014111426552
1987-04-30,-0.35121220136351167,0.0,0.01263636280940271,0.0,0.15758243440052025,0.0,0.0,0.0,0.17198117158592402,0.3140078073939938,0.0,0.0,0.17547141623315612,0.0,0.02513980029854163,0.0,0.0,0.0,-0.1778737750525504,0.0,0.0,0.0,0.0,0.0,-0.1583405784518839,0.0,0.0,0.0,0.21448484174141652,0.06657420976294018,0.0,0.0,0.0,0.0,0.4752164632550024,0.0,0.0,-0.032777054553772646,-0.05482682668526992,0.0,0.0,0.0,0.0,0.0,0.0,-0.009533049724370924,-0.2803885299283732,0.0,0.0,0.0,0.0,0.0,0.0,0.5723480195002004,0.13386530549072867,0.02280646939476534
1987-05-29,0.14815232306954157,0.0,0.08967678863771043,0.0,0.05195607021404263,0.0,-0.020473575330389477,0.0,-0.032303172681943416,0.08700793112164684,0.0,0.0,0.19099907206301606,0.0,0.00457061555231911,0.0,0.0,0.0,-0.04129968563157581,0.0,0.0,-0.10357122701659752,0.0,0.0,0.012925776933310928,0.0,0.0,0.0,0.040779678927327506,-0.014297403448549094,0.0,0.0,0.0,0.0,-0.053498981651352195,0.0,0.0,-0.011844816214619495,-0.0159401929893263,0.0,0.0,0.0,0.0,0.18393739308447016,0.0,0.12792090457145222,-0.06872298350044126,0.0,0.0,0.0,0.0,0.0,0.0,0.022609345308119488,0.009753996844967376,0.011060688324784178
1987-06-30,0.021605391583011963,0.0,0.1622134607996666,0.0,0.007514797175190946,0.0,0.018132498075471046,0.0,-0.0231278217614718,-0.01924004544098221,0.0,0.0,0.05536901425677092,0.0,-0.11755955006293958,0.0,0.0,0.0,0.09574529720831311,0.0,0.0,-0.026388455350960936,0.0,0.0,0.16232109989814095,0.0,0.0,0.0,-0.003184662302882257,-0.042255840849821744,0.0,0.0,0.0,0.0,-0.04112195507036483,0.0,0.0,-0.004170471373732976,0.11299318117262495,0.0,0.0,0.0,-0.04521590312464936,0.09030865608641438,0.0,-0.1208514688404321,-0.0549806464097671,0.0,0.0,0.0,0.0,-0.09829291919904802,0.0,-0.23038278098724638,0.026417948334356445,-0.0013482032033516004
1987-07-31,-0.025731645661724558,0.0,0.13212313828301503,0.0,0.12843155581868707,0.0,-0.008732664903690826,0.0,0.045840274665150386,0.059639300517559835,0.0,0.0,0.11618716460558429,0.0,-0.018625059679135022,0.0,0.0,0.0,0.20809910984102417,0.0,0.0,-0.07277155824645205,0.0,0.0,0.05350168152622364,0.0,0.0,0.0,0.06836467278654682,0.1885891952205755,0.0,0.0,0.0,0.0,0.10306445731154458,0.0,0.0,0.04853933193416925,0.1870738744047117,0.0,0.0,0.0,-0.06295534606898753,0.12593891556470022,0.0,0.04890343436660553,-0.03512795209610774,0.0,0.0,0.0,0.0,-0.09838051040029934,0.0,-0.12843793038042697,-0.019917133070918067,0.01897484193342465
1987-08-31,-0.02186053509743319,0.0,-0.0959477557426983,0.0,0.04661875950445962,0.0,0.03375402789610427,0.0,-0.0880909748037696,0.11135117393445719,0.0,0.0,-0.046325667261907906,0.0,0.08026816583879469,0.0,0.0,0.0,0.046796892096321714,0.0,0.0,-0.07349124458012446,0.0,0.0,-0.14908764025498208,0.0,0.0,0.0,0.07604603751183922,-0.14058118934969366,0.0,0.0,0.0,0.0,-0.11142359751413079,0.0,0.0,0.05881210294493585,0.12626002309435114,0.0,0.0,0.0,0.08606346587713347,0.0594881202202993,0.0,-0.014852221082038606,-0.05897416280047011,0.0,0.0,-0.10076387241767135,0.0,-0.15603398479608646,0.0,-0.07380550272795007,0.12852380232017233,-0.005041014130728869
